#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	CREBBP	9606.ENSP00000451828	9606.ENSP00000262367	0	0.457	0	0	0.457
AKT1	EP300	9606.ENSP00000451828	9606.ENSP00000263253	0	0.457	0	0	0.457
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0.457	0	0	0.457
AKT1	EGFR	9606.ENSP00000451828	9606.ENSP00000275493	0	0.523	0	0	0.523
AKT1	MTOR	9606.ENSP00000451828	9606.ENSP00000354558	0	0.542	0	0	0.542
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	CDKN1A	9606.ENSP00000451828	9606.ENSP00000384849	0	0.657	0	0	0.657
AKT1	RAF1	9606.ENSP00000451828	9606.ENSP00000401888	0	0.657	0	0	0.657
AKT1	PIK3R1	9606.ENSP00000451828	9606.ENSP00000428056	0	0.476	0	0	0.476
AKT1	PIAS2	9606.ENSP00000451828	9606.ENSP00000465676	0	0.542	0	0	0.542
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000500582	0	0.162	0.900	0	0.912
BCL2	MCL1	9606.ENSP00000381185	9606.ENSP00000358022	0	0.509	0	0	0.509
BCL2	BCL2L1	9606.ENSP00000381185	9606.ENSP00000365230	0	0.690	0.900	0	0.967
BCL2	RAF1	9606.ENSP00000381185	9606.ENSP00000401888	0	0.457	0	0	0.457
BCL2L1	MTOR	9606.ENSP00000365230	9606.ENSP00000354558	0	0.457	0	0	0.457
BCL2L1	MCL1	9606.ENSP00000365230	9606.ENSP00000358022	0	0.362	0.900	0	0.933
BCL2L1	RAF1	9606.ENSP00000365230	9606.ENSP00000401888	0	0.657	0	0	0.657
CCND1	EP300	9606.ENSP00000227507	9606.ENSP00000263253	0	0.457	0	0	0.457
CCND1	STAT3	9606.ENSP00000227507	9606.ENSP00000264657	0	0.457	0	0	0.457
CCND1	CCND3	9606.ENSP00000227507	9606.ENSP00000362082	0	0	0.900	0	0.900
CCND1	CCND2	9606.ENSP00000227507	9606.ENSP00000261254	0	0	0.900	0	0.900
CCND1	CREBBP	9606.ENSP00000227507	9606.ENSP00000262367	0	0.292	0.900	0	0.926
CCND1	CDKN1A	9606.ENSP00000227507	9606.ENSP00000384849	0	0.971	0.400	0	0.981
CCND2	CDKN1A	9606.ENSP00000261254	9606.ENSP00000384849	0	0.734	0.400	0	0.833
CCND2	CCND3	9606.ENSP00000261254	9606.ENSP00000362082	0	0	0.900	0	0.900
CCND3	CREBBP	9606.ENSP00000362082	9606.ENSP00000262367	0	0.611	0	0	0.611
CCND3	CDKN1A	9606.ENSP00000362082	9606.ENSP00000384849	0	0.734	0.400	0	0.833
CDKN1A	CREBBP	9606.ENSP00000384849	9606.ENSP00000262367	0	0.582	0	0	0.582
CDKN1A	EP300	9606.ENSP00000384849	9606.ENSP00000263253	0	0.457	0	0	0.457
CDKN1A	STAT3	9606.ENSP00000384849	9606.ENSP00000264657	0	0.542	0	0	0.542
CISH	EPOR	9606.ENSP00000409346	9606.ENSP00000222139	0	0.457	0	0	0.457
CISH	PIK3R2	9606.ENSP00000409346	9606.ENSP00000222254	0	0	0.540	0	0.540
CISH	PIK3R3	9606.ENSP00000409346	9606.ENSP00000262741	0	0	0.540	0	0.540
CISH	PIK3CA	9606.ENSP00000409346	9606.ENSP00000263967	0	0	0.540	0	0.540
CISH	EGFR	9606.ENSP00000409346	9606.ENSP00000275493	0	0.564	0	0	0.564
CISH	SOCS5	9606.ENSP00000409346	9606.ENSP00000305133	0	0	0.540	0	0.540
CISH	IL7R	9606.ENSP00000409346	9606.ENSP00000306157	0	0.457	0	0	0.457
CISH	GH1	9606.ENSP00000409346	9606.ENSP00000312673	0	0	0.500	0	0.499
