	#node1	node2	node1_string_id	node2_string_id	combined_score
0	UQCRC2	UQCRB	9606.ENSP00000268379	9606.ENSP00000430494	0.999
1	UQCRQ	UQCRB	9606.ENSP00000367939	9606.ENSP00000430494	0.999
2	ND5	NDUFV1	9606.ENSP00000354813	9606.ENSP00000497587	0.999
3	UQCRC2	UQCRQ	9606.ENSP00000268379	9606.ENSP00000367939	0.999
4	COX1	COX2	9606.ENSP00000354499	9606.ENSP00000354876	0.999
5	NDUFV2	ND1	9606.ENSP00000327268	9606.ENSP00000354687	0.999
6	NDUFS3	ND4	9606.ENSP00000263774	9606.ENSP00000354961	0.999
7	NDUFS7	NDUFV1	9606.ENSP00000233627	9606.ENSP00000497587	0.999
8	ND1	ND3	9606.ENSP00000354687	9606.ENSP00000355206	0.999
9	ND1	NDUFS2	9606.ENSP00000354687	9606.ENSP00000356972	0.999
10	NDUFS7	ND1	9606.ENSP00000233627	9606.ENSP00000354687	0.999
11	NDUFS7	ND3	9606.ENSP00000233627	9606.ENSP00000355206	0.999
12	NDUFS7	ND4	9606.ENSP00000233627	9606.ENSP00000354961	0.999
13	ND3	NDUFS2	9606.ENSP00000355206	9606.ENSP00000356972	0.999
14	ND5	ND4	9606.ENSP00000354813	9606.ENSP00000354961	0.999
15	ND5	ND2	9606.ENSP00000354813	9606.ENSP00000355046	0.999
16	ND4	ND2	9606.ENSP00000354961	9606.ENSP00000355046	0.999
17	ND4	NDUFS2	9606.ENSP00000354961	9606.ENSP00000356972	0.999
18	COX5A	COX2	9606.ENSP00000317780	9606.ENSP00000354876	0.999
19	NDUFV2	NDUFV1	9606.ENSP00000327268	9606.ENSP00000497587	0.999
20	NDUFS3	NDUFS2	9606.ENSP00000263774	9606.ENSP00000356972	0.999
21	NDUFV2	ND4	9606.ENSP00000327268	9606.ENSP00000354961	0.999
22	NDUFS7	ND5	9606.ENSP00000233627	9606.ENSP00000354813	0.999
23	ND1	NDUFV1	9606.ENSP00000354687	9606.ENSP00000497587	0.999
24	COX2	COX7C	9606.ENSP00000354876	9606.ENSP00000425759	0.999
25	NDUFV2	NDUFS2	9606.ENSP00000327268	9606.ENSP00000356972	0.999
26	NDUFS2	NDUFV1	9606.ENSP00000356972	9606.ENSP00000497587	0.999
27	NDUFS3	ND1	9606.ENSP00000263774	9606.ENSP00000354687	0.999
28	NDUFS3	NDUFV1	9606.ENSP00000263774	9606.ENSP00000497587	0.999
29	NDUFS3	NDUFV2	9606.ENSP00000263774	9606.ENSP00000327268	0.999
30	COX5A	COX7C	9606.ENSP00000317780	9606.ENSP00000425759	0.999
31	ND1	ND4	9606.ENSP00000354687	9606.ENSP00000354961	0.999
32	ND3	NDUFV1	9606.ENSP00000355206	9606.ENSP00000497587	0.999
33	NDUFV2	ND3	9606.ENSP00000327268	9606.ENSP00000355206	0.999
34	ND2	ND3	9606.ENSP00000355046	9606.ENSP00000355206	0.999
35	ND4	NDUFV1	9606.ENSP00000354961	9606.ENSP00000497587	0.999
36	ND4	ND3	9606.ENSP00000354961	9606.ENSP00000355206	0.999
37	NDUFS3	ND3	9606.ENSP00000263774	9606.ENSP00000355206	0.999
38	NDUFS7	ND2	9606.ENSP00000233627	9606.ENSP00000355046	0.999
39	ND5	ND3	9606.ENSP00000354813	9606.ENSP00000355206	0.999
40	ND2	NDUFV1	9606.ENSP00000355046	9606.ENSP00000497587	0.999
41	ND1	ND5	9606.ENSP00000354687	9606.ENSP00000354813	0.999
42	ND1	ND2	9606.ENSP00000354687	9606.ENSP00000355046	0.999
43	SDHC	SDHD	9606.ENSP00000356953	9606.ENSP00000364699	0.999
44	ATP5F1C	ATP5F1A	9606.ENSP00000349142	9606.ENSP00000381736	0.999
45	SDHA	SDHB	9606.ENSP00000264932	9606.ENSP00000364649	0.999
46	ATP5F1C	ATP6	9606.ENSP00000349142	9606.ENSP00000354632	0.998
47	SDHC	SDHB	9606.ENSP00000356953	9606.ENSP00000364649	0.999
48	SDHA	SDHC	9606.ENSP00000264932	9606.ENSP00000356953	0.999
49	ATP6	ATP5F1A	9606.ENSP00000354632	9606.ENSP00000381736	0.998
50	SDHB	SDHD	9606.ENSP00000364649	9606.ENSP00000364699	0.999
51	DLD	DLST	9606.ENSP00000205402	9606.ENSP00000335304	0.999
52	SDHA	SDHD	9606.ENSP00000264932	9606.ENSP00000364699	0.999
53	NDUFV2	ND5	9606.ENSP00000327268	9606.ENSP00000354813	0.999
54	NDUFS3	ND5	9606.ENSP00000263774	9606.ENSP00000354813	0.999
55	ND5	NDUFS2	9606.ENSP00000354813	9606.ENSP00000356972	0.999
56	ND2	NDUFS2	9606.ENSP00000355046	9606.ENSP00000356972	0.999
57	NDUFS3	ND2	9606.ENSP00000263774	9606.ENSP00000355046	0.999
58	ATP6V1E1	ATP6V1F	9606.ENSP00000253413	9606.ENSP00000417378	0.999
59	ATP6V0D1	ATP6V1F	9606.ENSP00000290949	9606.ENSP00000417378	0.999
60	NDUFV2	ND2	9606.ENSP00000327268	9606.ENSP00000355046	0.998
61	ATP5PO	ATP5F1C	9606.ENSP00000290299	9606.ENSP00000349142	0.997
62	ATP5PO	ATP5F1A	9606.ENSP00000290299	9606.ENSP00000381736	0.999
63	DLST	OGDH	9606.ENSP00000335304	9606.ENSP00000388183	0.999
64	DLD	OGDH	9606.ENSP00000205402	9606.ENSP00000388183	0.999
65	ATP5PO	ATP6	9606.ENSP00000290299	9606.ENSP00000354632	0.992
66	UQCRC1	UQCRQ	9606.ENSP00000203407	9606.ENSP00000367939	0.999
67	UQCRC1	UQCRC2	9606.ENSP00000203407	9606.ENSP00000268379	0.999
68	IDH3G	IDH3A	9606.ENSP00000217901	9606.ENSP00000299518	0.999
69	IDH3A	IDH3B	9606.ENSP00000299518	9606.ENSP00000482773	0.999
70	UQCRC1	UQCRB	9606.ENSP00000203407	9606.ENSP00000430494	0.999
71	DLD	GLDC	9606.ENSP00000205402	9606.ENSP00000370737	0.988
72	NDUFS7	NDUFS3	9606.ENSP00000233627	9606.ENSP00000263774	0.999
73	NDUFS7	NDUFS2	9606.ENSP00000233627	9606.ENSP00000356972	0.999
74	CCT7	TCP1	9606.ENSP00000258091	9606.ENSP00000317334	0.999
75	CCT7	CCT2	9606.ENSP00000258091	9606.ENSP00000299300	0.999
76	CCT2	TCP1	9606.ENSP00000299300	9606.ENSP00000317334	0.999
77	CCT2	CCT4	9606.ENSP00000299300	9606.ENSP00000377958	0.999
78	TCP1	CCT4	9606.ENSP00000317334	9606.ENSP00000377958	0.999
79	CCT5	TCP1	9606.ENSP00000280326	9606.ENSP00000317334	0.999
80	CCT7	CCT5	9606.ENSP00000258091	9606.ENSP00000280326	0.999
81	NDUFB9	NDUFB8	9606.ENSP00000276689	9606.ENSP00000299166	0.999
82	CCT5	CCT4	9606.ENSP00000280326	9606.ENSP00000377958	0.999
83	CCT5	CCT2	9606.ENSP00000280326	9606.ENSP00000299300	0.999
84	CCT7	CCT4	9606.ENSP00000258091	9606.ENSP00000377958	0.999
85	NDUFS7	NDUFA13	9606.ENSP00000233627	9606.ENSP00000423673	0.999
86	NDUFS7	NDUFA5	9606.ENSP00000233627	9606.ENSP00000417142	0.999
87	ND1	NDUFA13	9606.ENSP00000354687	9606.ENSP00000423673	0.999
88	CCT3	TCP1	9606.ENSP00000295688	9606.ENSP00000317334	0.999
89	NDUFB10	NDUFV2	9606.ENSP00000268668	9606.ENSP00000327268	0.999
90	CCT7	CCT3	9606.ENSP00000258091	9606.ENSP00000295688	0.999
91	CCT5	CCT3	9606.ENSP00000280326	9606.ENSP00000295688	0.999
92	NDUFB10	NDUFA13	9606.ENSP00000268668	9606.ENSP00000423673	0.999
93	ND4	NDUFA13	9606.ENSP00000354961	9606.ENSP00000423673	0.999
94	NDUFS3	NDUFB9	9606.ENSP00000263774	9606.ENSP00000276689	0.999
95	NDUFB10	NDUFB11	9606.ENSP00000268668	9606.ENSP00000276062	0.999
96	COX1	COX7C	9606.ENSP00000354499	9606.ENSP00000425759	0.999
97	NDUFB5	NDUFB10	9606.ENSP00000259037	9606.ENSP00000268668	0.999
98	NDUFS7	NDUFV2	9606.ENSP00000233627	9606.ENSP00000327268	0.999
99	HADHB	HADHA	9606.ENSP00000325136	9606.ENSP00000370023	0.999
100	NDUFB11	NDUFB9	9606.ENSP00000276062	9606.ENSP00000276689	0.999
101	ND3	NDUFA13	9606.ENSP00000355206	9606.ENSP00000423673	0.999
102	NDUFB8	ND4	9606.ENSP00000299166	9606.ENSP00000354961	0.999
103	NDUFB9	ND5	9606.ENSP00000276689	9606.ENSP00000354813	0.999
104	NDUFB9	ND4	9606.ENSP00000276689	9606.ENSP00000354961	0.999
105	NDUFB10	ND4	9606.ENSP00000268668	9606.ENSP00000354961	0.999
106	NDUFB10	NDUFB8	9606.ENSP00000268668	9606.ENSP00000299166	0.999
107	NDUFS2	NDUFA5	9606.ENSP00000356972	9606.ENSP00000417142	0.999
108	NDUFB5	ND4	9606.ENSP00000259037	9606.ENSP00000354961	0.999
109	NDUFB5	NDUFB9	9606.ENSP00000259037	9606.ENSP00000276689	0.999
110	NDUFB11	NDUFS2	9606.ENSP00000276062	9606.ENSP00000356972	0.999
111	NDUFS2	NDUFA13	9606.ENSP00000356972	9606.ENSP00000423673	0.999
