#node	identifier	node_degree
ACADVL	9606.ENSP00000438689	0
ACIN1	9606.ENSP00000262710	7
ACTB	9606.ENSP00000494750	70
ACTG1	9606.ENSP00000458162	35
ACTN4	9606.ENSP00000252699	9
ACTR2	9606.ENSP00000367220	17
ADAM10	9606.ENSP00000260408	5
ADAR	9606.ENSP00000357459	3
ADD1	9606.ENSP00000264758	3
ADD3	9606.ENSP00000348381	1
ADGRE5	9606.ENSP00000242786	0
AEBP1	9606.ENSP00000223357	0
AHSP	9606.ENSP00000307199	5
AKAP17A	9606.ENSP00000324827	2
AKT2	9606.ENSP00000375892	2
ALAS2	9606.ENSP00000497236	0
ALDOA	9606.ENSP00000496166	0
ALOX5	9606.ENSP00000363512	0
ANAPC5	9606.ENSP00000261819	5
ANKLE2	9606.ENSP00000350686	2
ANKRD10	9606.ENSP00000267339	0
ANKRD11	9606.ENSP00000301030	0
ANP32A	9606.ENSP00000417864	4
ANP32B	9606.ENSP00000345848	1
ANXA2	9606.ENSP00000346032	3
AP1B1	9606.ENSP00000350199	19
AP1G2	9606.ENSP00000312442	9
AP2M1	9606.ENSP00000403362	17
APEX1	9606.ENSP00000216714	23
ARF1	9606.ENSP00000440005	13
ARGLU1	9606.ENSP00000383059	2
ARHGAP27	9606.ENSP00000403323	0
ARHGAP4	9606.ENSP00000359045	0
ARHGAP45	9606.ENSP00000439601	0
ARHGDIA	9606.ENSP00000463939	7
ARHGDIB	9606.ENSP00000228945	4
ARHGEF1	9606.ENSP00000337261	2
ARHGEF2	9606.ENSP00000354837	3
ARHGEF7	9606.ENSP00000495631	6
ARID1A	9606.ENSP00000320485	18
ARMH1	9606.ENSP00000420716	0
ARPC1B	9606.ENSP00000389631	12
ARPC2	9606.ENSP00000295685	13
ARPC3	9606.ENSP00000228825	13
ARPC5	9606.ENSP00000294742	13
ARPP21	9606.ENSP00000412326	0
ARRB2	9606.ENSP00000403701	12
ASXL1	9606.ENSP00000364839	4
ATF3	9606.ENSP00000344352	7
ATF4	9606.ENSP00000336790	5
ATF6B	9606.ENSP00000364349	1
ATG16L2	9606.ENSP00000326340	0
ATP2A3	9606.ENSP00000353072	0
ATP5F1A	9606.ENSP00000381736	6
ATP5F1B	9606.ENSP00000262030	5
ATP5PD	9606.ENSP00000301587	4
ATXN2L	9606.ENSP00000378917	3
B2M	9606.ENSP00000497910	22
BAG6	9606.ENSP00000365131	2
BAHCC1	9606.ENSP00000462154	1
BANK1	9606.ENSP00000320509	0
BAZ2A	9606.ENSP00000446880	3
BCLAF1	9606.ENSP00000435210	7
BCR	9606.ENSP00000303507	6
BLK	9606.ENSP00000259089	0
BLNK	9606.ENSP00000224337	2
BRD2	9606.ENSP00000378702	19
BSG	9606.ENSP00000333769	6
BTF3	9606.ENSP00000369965	58
BTG1	9606.ENSP00000256015	0
CA1	9606.ENSP00000430656	0
CALCOCO2	9606.ENSP00000398523	1
CALM1	9606.ENSP00000499717	13
CALM2	9606.ENSP00000499797	4
CALM3	9606.ENSP00000291295	8
CALR	9606.ENSP00000320866	14
CANX	9606.ENSP00000247461	21
CAP1	9606.ENSP00000361883	3
CAPN1	9606.ENSP00000431984	2
CAPNS1	9606.ENSP00000464849	1
CAPZB	9606.ENSP00000401010	14
CARD8	9606.ENSP00000499211	1
CBFA2T3	9606.ENSP00000268679	3
CBX4	9606.ENSP00000269397	27
CCN2	9606.ENSP00000356954	0
CCND3	9606.ENSP00000362082	2
CCNI	9606.ENSP00000237654	0
CCNL1	9606.ENSP00000295926	1
CCNL2	9606.ENSP00000383611	2
CCT2	9606.ENSP00000299300	19
CCT5	9606.ENSP00000280326	19
CCT7	9606.ENSP00000258091	18
CD164	9606.ENSP00000309376	0
CD19	9606.ENSP00000313419	5
CD22	9606.ENSP00000085219	4
CD24	9606.ENSP00000481841	0
CD34	9606.ENSP00000310036	3
CD37	9606.ENSP00000325708	0
CD44	9606.ENSP00000398632	7
CD47	9606.ENSP00000355361	2
CD52	9606.ENSP00000363330	0
CD53	9606.ENSP00000497382	0
CD69	9606.ENSP00000228434	0
CD72	9606.ENSP00000259633	1
CD74	9606.ENSP00000009530	95
CD79A	9606.ENSP00000221972	6
CD79B	9606.ENSP00000376544	6
CD81	9606.ENSP00000263645	4
CD9	9606.ENSP00000371958	6
CD99	9606.ENSP00000370588	1
CDC42	9606.ENSP00000497733	31
CDCA7	9606.ENSP00000306968	2
CDK11A	9606.ENSP00000367900	2
CDK5RAP3	9606.ENSP00000438886	1
CDK6	9606.ENSP00000265734	4
CDK9	9606.ENSP00000362361	17
