#node	identifier	node_degree
AKT1	9606.ENSP00000451828	11
AKT2	9606.ENSP00000375892	2
AKT3	9606.ENSP00000500582	2
AOX1	9606.ENSP00000363832	0
BCL2	9606.ENSP00000381185	3
BCL2L1	9606.ENSP00000365230	4
CCND1	9606.ENSP00000227507	6
CCND2	9606.ENSP00000261254	3
CCND3	9606.ENSP00000362082	4
CDKN1A	9606.ENSP00000384849	7
CISH	9606.ENSP00000409346	20
CNTF	9606.ENSP00000355370	16
CNTFR	9606.ENSP00000368265	8
CREBBP	9606.ENSP00000262367	11
CRLF2	9606.ENSP00000370978	7
CSF2	9606.ENSP00000296871	18
CSF2RB	9606.ENSP00000384053	22
CSF3	9606.ENSP00000225474	21
CSF3R	9606.ENSP00000362195	13
CSH1	9606.ENSP00000316416	15
CSH2	9606.ENSP00000376623	9
CTF1	9606.ENSP00000279804	8
EGF	9606.ENSP00000265171	10
EGFR	9606.ENSP00000275493	33
EP300	9606.ENSP00000263253	11
EPO	9606.ENSP00000252723	19
EPOR	9606.ENSP00000222139	18
FHL1	9606.ENSP00000498684	0
GH1	9606.ENSP00000312673	22
GH2	9606.ENSP00000333157	22
GHR	9606.ENSP00000483403	19
GRB2	9606.ENSP00000376345	42
HRAS	9606.ENSP00000407586	7
IFNA1	9606.ENSP00000276927	16
IFNA10	9606.ENSP00000369566	8
IFNA13	9606.ENSP00000480467	6
IFNA14	9606.ENSP00000369571	12
IFNA16	9606.ENSP00000369564	11
IFNA17	9606.ENSP00000411940	10
IFNA2	9606.ENSP00000369554	10
IFNA21	9606.ENSP00000369574	13
IFNA4	9606.ENSP00000412897	14
IFNA5	9606.ENSP00000484479	16
IFNA6	9606.ENSP00000369558	12
IFNA7	9606.ENSP00000239347	9
IFNA8	9606.ENSP00000369553	11
IFNAR1	9606.ENSP00000270139	24
IFNAR2	9606.ENSP00000343957	24
IFNB1	9606.ENSP00000369581	8
IFNE	9606.ENSP00000418018	0
IFNG	9606.ENSP00000229135	6
IFNGR1	9606.ENSP00000356713	10
IFNK	9606.ENSP00000276943	0
IFNL1	9606.ENSP00000329991	11
IFNL2	9606.ENSP00000333639	6
IFNL3	9606.ENSP00000481633	5
IFNLR1	9606.ENSP00000327824	14
IFNW1	9606.ENSP00000369578	2
IL10	9606.ENSP00000412237	5
IL10RA	9606.ENSP00000227752	7
IL10RB	9606.ENSP00000290200	20
IL11	9606.ENSP00000264563	5
IL11RA	9606.ENSP00000450565	6
IL12A	9606.ENSP00000303231	11
IL12B	9606.ENSP00000231228	11
IL12RB1	9606.ENSP00000470788	12
IL12RB2	9606.ENSP00000262345	12
IL13	9606.ENSP00000304915	9
IL13RA1	9606.ENSP00000360730	12
IL13RA2	9606.ENSP00000361004	6
IL15	9606.ENSP00000296545	10
IL17D	9606.ENSP00000302924	0
IL19	9606.ENSP00000499459	6
IL2	9606.ENSP00000226730	16
IL20	9606.ENSP00000356065	9
IL20RA	9606.ENSP00000314976	11
IL20RB	9606.ENSP00000328133	11
IL21	9606.ENSP00000497915	9
IL21R	9606.ENSP00000338010	11
IL22	9606.ENSP00000442424	7
IL22RA1	9606.ENSP00000270800	11
IL22RA2	9606.ENSP00000296980	5
IL23A	9606.ENSP00000228534	8
IL23R	9606.ENSP00000321345	10
IL24	9606.ENSP00000375795	8
IL27RA	9606.ENSP00000263379	13
IL2RA	9606.ENSP00000369293	18
IL2RB	9606.ENSP00000216223	22
IL2RG	9606.ENSP00000363318	32
IL3	9606.ENSP00000296870	18
IL3RA	9606.ENSP00000327890	21
IL4	9606.ENSP00000231449	11
IL4R	9606.ENSP00000379111	15
IL5	9606.ENSP00000231454	18
IL5RA	9606.ENSP00000412209	21
IL6	9606.ENSP00000385675	9
IL6R	9606.ENSP00000357470	12
IL6ST	9606.ENSP00000370698	23
IL7	9606.ENSP00000263851	9
IL7R	9606.ENSP00000306157	15
IL9	9606.ENSP00000274520	8
IL9R	9606.ENSP00000244174	10
IRF9	9606.ENSP00000380073	7
JAK1	9606.ENSP00000499900	104
JAK2	9606.ENSP00000371067	89
JAK3	9606.ENSP00000432511	68
