#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	CDC37	9606.ENSP00000451828	9606.ENSP00000222005	0	0.459	0	0	0.459
AKT1	RPS6KB1	9606.ENSP00000451828	9606.ENSP00000225577	0	0.657	0	0	0.657
AKT1	CDKN1B	9606.ENSP00000451828	9606.ENSP00000228872	0	0.657	0	0	0.657
AKT1	MDM2	9606.ENSP00000451828	9606.ENSP00000258149	0	0.657	0	0	0.657
AKT1	PHLPP1	9606.ENSP00000451828	9606.ENSP00000262719	0	0.457	0	0	0.457
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0.457	0	0	0.457
AKT1	EGFR	9606.ENSP00000451828	9606.ENSP00000275493	0	0.523	0	0	0.523
AKT1	NOS3	9606.ENSP00000451828	9606.ENSP00000297494	0	0.592	0.500	0	0.787
AKT1	TSC1	9606.ENSP00000451828	9606.ENSP00000298552	0	0.421	0	0	0.421
AKT1	IRS1	9606.ENSP00000451828	9606.ENSP00000304895	0	0.457	0	0	0.457
AKT1	PPP2R1A	9606.ENSP00000451828	9606.ENSP00000324804	0	0.457	0	0	0.457
AKT1	GSK3B	9606.ENSP00000451828	9606.ENSP00000324806	0	0.457	0	0	0.457
AKT1	HSP90AA1	9606.ENSP00000451828	9606.ENSP00000335153	0	0.458	0.800	0	0.887
AKT1	FOXO3	9606.ENSP00000451828	9606.ENSP00000339527	0	0.667	0	0	0.667
AKT1	PDPK1	9606.ENSP00000451828	9606.ENSP00000344220	0	0.639	0.700	0	0.887
AKT1	MTOR	9606.ENSP00000451828	9606.ENSP00000354558	0	0.542	0	0	0.542
AKT1	THEM4	9606.ENSP00000451828	9606.ENSP00000357804	0	0.457	0.500	0	0.716
AKT1	MTCP1	9606.ENSP00000451828	9606.ENSP00000358488	0	0.457	0	0	0.457
AKT1	CHUK	9606.ENSP00000451828	9606.ENSP00000359424	0	0.657	0	0	0.657
AKT1	HSP90AB1	9606.ENSP00000451828	9606.ENSP00000360609	0	0.458	0	0	0.458
AKT1	PTEN	9606.ENSP00000451828	9606.ENSP00000361021	0	0.471	0	0	0.471
AKT1	GNB1	9606.ENSP00000451828	9606.ENSP00000367872	0	0.443	0	0	0.443
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0.655	0.900	0	0.964
AKT1	BAD	9606.ENSP00000451828	9606.ENSP00000378040	0	0.657	0	0	0.657
AKT1	YWHAZ	9606.ENSP00000451828	9606.ENSP00000379287	0	0.447	0	0	0.447
AKT1	CDKN1A	9606.ENSP00000451828	9606.ENSP00000384849	0	0.657	0	0	0.657
AKT1	RAF1	9606.ENSP00000451828	9606.ENSP00000401888	0	0.657	0	0	0.657
AKT1	PPP2CA	9606.ENSP00000451828	9606.ENSP00000418447	0	0.457	0	0	0.457
AKT1	BRCA1	9606.ENSP00000451828	9606.ENSP00000418960	0	0.457	0	0	0.457
AKT1	PIK3R1	9606.ENSP00000451828	9606.ENSP00000428056	0	0.476	0	0	0.476
AKT1	IKBKB	9606.ENSP00000451828	9606.ENSP00000430684	0	0.657	0	0	0.657
AKT1	TCL1A	9606.ENSP00000451828	9606.ENSP00000451506	0	0.653	0	0	0.653
AKT1	IKBKG	9606.ENSP00000451828	9606.ENSP00000483825	0	0.438	0	0	0.438
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000500582	0	0.592	0.900	0	0.957
