#node	identifier	node_degree
AKT1	9606.ENSP00000451828	34
AKT2	9606.ENSP00000375892	7
AKT3	9606.ENSP00000500582	6
ANGPT1	9606.ENSP00000428340	9
ANGPT2	9606.ENSP00000314897	5
ANGPT4	9606.ENSP00000371347	3
AREG	9606.ENSP00000379097	9
ATF2	9606.ENSP00000264110	13
ATF4	9606.ENSP00000336790	10
ATF6B	9606.ENSP00000364349	9
BAD	9606.ENSP00000378040	10
BCL2	9606.ENSP00000381185	9
BCL2L1	9606.ENSP00000365230	9
BCL2L11	9606.ENSP00000376943	5
BDNF	9606.ENSP00000414303	8
BRCA1	9606.ENSP00000418960	9
CASP9	9606.ENSP00000330237	1
CCND1	9606.ENSP00000227507	12
CCND2	9606.ENSP00000261254	8
CCND3	9606.ENSP00000362082	8
CCNE1	9606.ENSP00000262643	9
CCNE2	9606.ENSP00000429089	7
CD19	9606.ENSP00000313419	4
CDC37	9606.ENSP00000222005	22
CDK2	9606.ENSP00000266970	13
CDK4	9606.ENSP00000257904	16
CDK6	9606.ENSP00000265734	10
CDKN1A	9606.ENSP00000384849	16
CDKN1B	9606.ENSP00000228872	14
CHAD	9606.ENSP00000258969	0
CHRM1	9606.ENSP00000306490	8
CHRM2	9606.ENSP00000399745	8
CHUK	9606.ENSP00000359424	11
COL1A1	9606.ENSP00000225964	6
COL1A2	9606.ENSP00000297268	4
COL2A1	9606.ENSP00000369889	3
COL4A1	9606.ENSP00000364979	11
COL4A2	9606.ENSP00000353654	12
COL4A3	9606.ENSP00000379823	11
COL4A4	9606.ENSP00000379866	9
COL4A5	9606.ENSP00000331902	7
COL4A6	9606.ENSP00000378340	6
COL6A1	9606.ENSP00000355180	6
COL6A2	9606.ENSP00000300527	6
COL6A3	9606.ENSP00000295550	4
COL6A5	9606.ENSP00000265379	4
COL6A6	9606.ENSP00000351310	4
COL9A1	9606.ENSP00000349790	10
COL9A2	9606.ENSP00000361834	9
COL9A3	9606.ENSP00000496793	9
COMP	9606.ENSP00000222271	4
CREB1	9606.ENSP00000387699	12
CREB3	9606.ENSP00000342136	11
CREB3L1	9606.ENSP00000481956	10
CREB3L2	9606.ENSP00000329140	10
CREB3L3	9606.ENSP00000078445	10
CREB3L4	9606.ENSP00000271889	10
CREB5	9606.ENSP00000350359	10
CRTC2	9606.ENSP00000357622	12
CSF1	9606.ENSP00000327513	7
CSF1R	9606.ENSP00000286301	7
CSF3	9606.ENSP00000225474	11
CSF3R	9606.ENSP00000362195	6
CSH1	9606.ENSP00000316416	9
CSH2	9606.ENSP00000376623	6
DDIT4	9606.ENSP00000307305	6
EFNA1	9606.ENSP00000357392	5
EFNA2	9606.ENSP00000215368	5
EFNA3	9606.ENSP00000357393	5
EFNA4	9606.ENSP00000414378	5
EFNA5	9606.ENSP00000328777	5
EGF	9606.ENSP00000265171	21
EGFR	9606.ENSP00000275493	42
EIF4B	9606.ENSP00000388806	3
EIF4E1B	9606.ENSP00000497422	3
EIF4E2	9606.ENSP00000258416	3
EIF4EBP1	9606.ENSP00000340691	7
EPHA2	9606.ENSP00000351209	9
EPO	9606.ENSP00000252723	16
EPOR	9606.ENSP00000222139	13
ERBB2	9606.ENSP00000269571	31
ERBB3	9606.ENSP00000267101	11
ERBB4	9606.ENSP00000342235	11
EREG	9606.ENSP00000244869	12
F2R	9606.ENSP00000321326	10
FASLG	9606.ENSP00000356694	5
FGF1	9606.ENSP00000480791	27
FGF10	9606.ENSP00000264664	23
FGF16	9606.ENSP00000399324	25
FGF17	9606.ENSP00000352414	26
FGF18	9606.ENSP00000274625	25
FGF19	9606.ENSP00000294312	18
FGF2	9606.ENSP00000264498	26
FGF20	9606.ENSP00000180166	26
FGF21	9606.ENSP00000471477	0
FGF22	9606.ENSP00000215530	23
FGF23	9606.ENSP00000237837	26
FGF3	9606.ENSP00000334122	23
FGF4	9606.ENSP00000168712	26
FGF5	9606.ENSP00000311697	26
FGF6	9606.ENSP00000228837	25
FGF7	9606.ENSP00000267843	22
FGF8	9606.ENSP00000321797	26
