#node	identifier	node_degree
AACS	9606.ENSP00000324842	0
AFDN	9606.ENSP00000355771	0
ALK	9606.ENSP00000373700	1
BCL6	9606.ENSP00000384371	1
CASK	9606.ENSP00000494788	2
CBL	9606.ENSP00000264033	9
CNKSR1	9606.ENSP00000363371	3
EGF	9606.ENSP00000265171	6
EGFR	9606.ENSP00000275493	8
EPS8	9606.ENSP00000494689	4
FGF8	9606.ENSP00000321797	6
FGF9	9606.ENSP00000371790	6
FLNC	9606.ENSP00000327145	0
GNAQ	9606.ENSP00000286548	1
GRB2	9606.ENSP00000376345	9
HDAC1	9606.ENSP00000362649	4
HSPG2	9606.ENSP00000363827	0
INS	9606.ENSP00000380432	1
KAT5	9606.ENSP00000340330	1
KL	9606.ENSP00000369442	6
KSR1	9606.ENSP00000381958	3
L1CAM	9606.ENSP00000359077	1
LARP1	9606.ENSP00000336721	0
LIN7A	9606.ENSP00000447488	1
LRP2	9606.ENSP00000496870	0
MAP2K2	9606.ENSP00000262948	3
MARK3	9606.ENSP00000411397	3
MED12	9606.ENSP00000363193	1
MED23	9606.ENSP00000357047	1
PTPN11	9606.ENSP00000489597	8
PTPRJ	9606.ENSP00000400010	1
RABIF	9606.ENSP00000356231	0
RALGDS	9606.ENSP00000361120	0
SETDB1	9606.ENSP00000271640	1
SHOC2	9606.ENSP00000358464	0
SOS1	9606.ENSP00000384675	10
TP53	9606.ENSP00000269305	2
ZBTB16	9606.ENSP00000338157	1
