#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALK	GRB2	9606.ENSP00000373700	9606.ENSP00000376345	0	0.457	0.500	0	0.716
BCL6	HDAC1	9606.ENSP00000384371	9606.ENSP00000362649	0	0.457	0	0	0.457
CASK	LIN7A	9606.ENSP00000494788	9606.ENSP00000447488	0	0.464	0.500	0	0.720
CASK	EPS8	9606.ENSP00000494788	9606.ENSP00000494689	0	0.292	0.800	0	0.852
CBL	EPS8	9606.ENSP00000264033	9606.ENSP00000494689	0	0.468	0	0	0.468
CBL	FGF8	9606.ENSP00000264033	9606.ENSP00000321797	0	0	0.500	0	0.499
CBL	FGF9	9606.ENSP00000264033	9606.ENSP00000371790	0	0	0.500	0	0.499
CBL	KL	9606.ENSP00000264033	9606.ENSP00000369442	0	0	0.500	0	0.499
CBL	EGF	9606.ENSP00000264033	9606.ENSP00000265171	0	0	0.500	0	0.499
CBL	SOS1	9606.ENSP00000264033	9606.ENSP00000384675	0	0.292	0.500	0	0.630
CBL	PTPN11	9606.ENSP00000264033	9606.ENSP00000489597	0	0.457	0.500	0	0.716
CBL	EGFR	9606.ENSP00000264033	9606.ENSP00000275493	0	0.788	0.800	0	0.955
CBL	GRB2	9606.ENSP00000264033	9606.ENSP00000376345	0	0.645	0.900	0	0.963
CNKSR1	MAP2K2	9606.ENSP00000363371	9606.ENSP00000262948	0	0	0.500	0	0.499
CNKSR1	MARK3	9606.ENSP00000363371	9606.ENSP00000411397	0	0	0.400	0	0.400
CNKSR1	KSR1	9606.ENSP00000363371	9606.ENSP00000381958	0	0	0.400	0	0.400
EGF	SOS1	9606.ENSP00000265171	9606.ENSP00000384675	0	0	0.400	0	0.400
EGF	PTPN11	9606.ENSP00000265171	9606.ENSP00000489597	0	0	0.400	0	0.400
EGF	INS	9606.ENSP00000265171	9606.ENSP00000380432	0	0	0.900	0	0.900
EGF	GRB2	9606.ENSP00000265171	9606.ENSP00000376345	0	0	0.400	0	0.400
EGF	EGFR	9606.ENSP00000265171	9606.ENSP00000275493	0	0.972	0.900	0	0.997
EGFR	PTPRJ	9606.ENSP00000275493	9606.ENSP00000400010	0	0.412	0	0	0.412
EGFR	EPS8	9606.ENSP00000275493	9606.ENSP00000494689	0	0.523	0	0	0.523
EGFR	L1CAM	9606.ENSP00000275493	9606.ENSP00000359077	0	0.292	0.900	0	0.926
EGFR	SOS1	9606.ENSP00000275493	9606.ENSP00000384675	0	0.734	0.400	0	0.833
EGFR	PTPN11	9606.ENSP00000275493	9606.ENSP00000489597	0	0.734	0.400	0	0.833
EGFR	GRB2	9606.ENSP00000275493	9606.ENSP00000376345	0	0.735	0.900	0	0.972
EPS8	SOS1	9606.ENSP00000494689	9606.ENSP00000384675	0	0.457	0	0	0.457
FGF8	PTPN11	9606.ENSP00000321797	9606.ENSP00000489597	0	0	0.400	0	0.400
FGF8	SOS1	9606.ENSP00000321797	9606.ENSP00000384675	0	0	0.400	0	0.400
FGF8	GRB2	9606.ENSP00000321797	9606.ENSP00000376345	0	0	0.400	0	0.400
FGF8	FGF9	9606.ENSP00000321797	9606.ENSP00000371790	0	0	0.400	0	0.400
FGF8	KL	9606.ENSP00000321797	9606.ENSP00000369442	0	0	0.400	0	0.400
FGF9	KL	9606.ENSP00000371790	9606.ENSP00000369442	0	0	0.400	0	0.400
FGF9	PTPN11	9606.ENSP00000371790	9606.ENSP00000489597	0	0	0.400	0	0.400
FGF9	SOS1	9606.ENSP00000371790	9606.ENSP00000384675	0	0	0.400	0	0.400
FGF9	GRB2	9606.ENSP00000371790	9606.ENSP00000376345	0	0	0.400	0	0.400
GNAQ	SOS1	9606.ENSP00000286548	9606.ENSP00000384675	0	0	0.540	0	0.540
GRB2	KL	9606.ENSP00000376345	9606.ENSP00000369442	0	0	0.400	0	0.400
GRB2	PTPN11	9606.ENSP00000376345	9606.ENSP00000489597	0	0.734	0.900	0	0.972
GRB2	SOS1	9606.ENSP00000376345	9606.ENSP00000384675	0	0.834	0.900	0	0.982
HDAC1	TP53	9606.ENSP00000362649	9606.ENSP00000269305	0	0.657	0	0	0.657
HDAC1	SETDB1	9606.ENSP00000362649	9606.ENSP00000271640	0	0.457	0	0	0.457
HDAC1	ZBTB16	9606.ENSP00000362649	9606.ENSP00000338157	0	0.629	0	0	0.629
KAT5	TP53	9606.ENSP00000340330	9606.ENSP00000269305	0	0.457	0	0	0.457
KL	SOS1	9606.ENSP00000369442	9606.ENSP00000384675	0	0	0.400	0	0.400
KL	PTPN11	9606.ENSP00000369442	9606.ENSP00000489597	0	0	0.400	0	0.400
KSR1	MAP2K2	9606.ENSP00000381958	9606.ENSP00000262948	0	0.794	0.500	0	0.892
KSR1	MARK3	9606.ENSP00000381958	9606.ENSP00000411397	0	0.457	0.900	0	0.943
MAP2K2	MARK3	9606.ENSP00000262948	9606.ENSP00000411397	0	0	0.500	0	0.499
MED12	MED23	9606.ENSP00000363193	9606.ENSP00000357047	0	0.734	0.800	0	0.944
PTPN11	SOS1	9606.ENSP00000489597	9606.ENSP00000384675	0	0.734	0	0	0.734
